KBA012792,"세방하이빌1,2",세방하이빌2차,,역삼동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('25650','KBA012792',1000000013,NOW(),1000000013,NOW());"
KBA011034,우성7차(개포),일원우성7차,Y,일원동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('978','KBA011034',1000000013,NOW(),1000000013,NOW());"
KBA009772,한신오페라하우스(1차),한신오페라하우스,,청담동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('10028','KBA009772',1000000013,NOW(),1000000013,NOW());"
KBA009772,한신오페라하우스(1차),퍼즐하우스,,청담동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('104787','KBA009772',1000000013,NOW(),1000000013,NOW());"
KBA009772,한신오페라하우스(1차),한신오페라하우스2차,,청담동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('22891','KBA009772',1000000013,NOW(),1000000013,NOW());"
KBA009772,한신오페라하우스(1차),씨티1차,,청담동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('3059','KBA009772',1000000013,NOW(),1000000013,NOW());"
KBA005208,삼익파크맨션,삼익파크맨숀,Y,길동,강동구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('1283','KBA005208',1000000013,NOW(),1000000013,NOW());"
KBA005208,삼익파크맨션,청원파크빌2차,,길동,강동구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('13849','KBA005208',1000000013,NOW(),1000000013,NOW());"
KBA005208,삼익파크맨션,청원파크빌3차,,길동,강동구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('26782','KBA005208',1000000013,NOW(),1000000013,NOW());"
KBA005969,길동골드빌1차,골든빌,Y,길동,강동구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('18611','KBA005969',1000000013,NOW(),1000000013,NOW());"
KBA011506,"에이치비골드빌(2,3차)",해맞이,,길동,강동구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('106172','KBA011506',1000000013,NOW(),1000000013,NOW());"
KBA011506,"에이치비골드빌(2,3차)",에이치비골드빌,,길동,강동구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('11980','KBA011506',1000000013,NOW(),1000000013,NOW());"
KBA011506,"에이치비골드빌(2,3차)",골든빌,,길동,강동구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('18611','KBA011506',1000000013,NOW(),1000000013,NOW());"
